"","Notes","State","State.Code","Year","Year.Code","Deaths","Population","Crude.Rate","region"
"789",NA,"Rhode Island",44,2014,2014,247,1055173,"23.4","RI"
"790",NA,"South Carolina",45,2014,2014,701,4832482,"14.5","SC"
"791",NA,"South Dakota",46,2014,2014,63,853175,"7.4","SD"
"792",NA,"Tennessee",47,2014,2014,1269,6549352,"19.4","TN"
"793",NA,"Texas",48,2014,2014,2601,26956958,"9.6","TX"
"794",NA,"Utah",49,2014,2014,603,2942902,"20.5","UT"
"795",NA,"Vermont",50,2014,2014,83,626562,"13.2","VT"
"796",NA,"Virginia",51,2014,2014,980,8326289,"11.8","VA"
"797",NA,"Washington",53,2014,2014,979,7061530,"13.9","WA"
"798",NA,"West Virginia",54,2014,2014,627,1850326,"33.9","WV"
"799",NA,"Wisconsin",55,2014,2014,853,5757564,"14.8","WI"
"800",NA,"Wyoming",56,2014,2014,109,584153,"18.7","WY"
"801",NA,"Alabama",1,2015,2015,736,4858979,"15.1","AL"
"802",NA,"Alaska",2,2015,2015,122,738432,"16.5","AK"
"803",NA,"Arizona",4,2015,2015,1274,6828065,"18.7","AZ"
"804",NA,"Arkansas",5,2015,2015,392,2978204,"13.2","AR"
"805",NA,"California",6,2015,2015,4659,39144818,"11.9","CA"
"806",NA,"Colorado",8,2015,2015,869,5456574,"15.9","CO"
"807",NA,"Connecticut",9,2015,2015,800,3590886,"22.3","CT"
"808",NA,"Delaware",10,2015,2015,198,945934,"20.9","DE"
"809",NA,"Florida",12,2015,2015,3228,20271272,"15.9","FL"
"810",NA,"Georgia",13,2015,2015,1302,10214860,"12.7","GA"
"811",NA,"Hawaii",15,2015,2015,169,1431603,"11.8","HI"
"812",NA,"Idaho",16,2015,2015,218,1654930,"13.2","ID"
"813",NA,"Illinois",17,2015,2015,1835,12859995,"14.3","IL"
"814",NA,"Indiana",18,2015,2015,1245,6619680,"18.8","IN"
"815",NA,"Iowa",19,2015,2015,309,3123899,"9.9","IA"
"816",NA,"Kansas",20,2015,2015,329,2911641,"11.3","KS"
"817",NA,"Kentucky",21,2015,2015,1273,4425092,"28.8","KY"
"818",NA,"Louisiana",22,2015,2015,861,4670724,"18.4","LA"
"819",NA,"Maine",23,2015,2015,269,1329328,"20.2","ME"
"820",NA,"Maryland",24,2015,2015,1285,6006401,"21.4","MD"
"821",NA,"Massachusetts",25,2015,2015,1724,6794422,"25.4","MA"
"822",NA,"Michigan",26,2015,2015,1980,9922576,"20","MI"
"823",NA,"Minnesota",27,2015,2015,581,5489594,"10.6","MN"
"824",NA,"Mississippi",28,2015,2015,351,2992333,"11.7","MS"
"825",NA,"Missouri",29,2015,2015,1066,6083672,"17.5","MO"
"826",NA,"Montana",30,2015,2015,138,1032949,"13.4","MT"
"827",NA,"Nebraska",31,2015,2015,126,1896190,"6.6","NE"
"828",NA,"Nevada",32,2015,2015,619,2890845,"21.4","NV"
"829",NA,"New Hampshire",33,2015,2015,422,1330608,"31.7","NH"
"830",NA,"New Jersey",34,2015,2015,1454,8958013,"16.2","NJ"
"831",NA,"New Mexico",35,2015,2015,501,2085109,"24","NM"
"832",NA,"New York",36,2015,2015,2754,19795791,"13.9","NY"
"833",NA,"North Carolina",37,2015,2015,1567,10042802,"15.6","NC"
"834",NA,"North Dakota",38,2015,2015,61,756927,"8.1","ND"
"835",NA,"Ohio",39,2015,2015,3310,11613423,"28.5","OH"
"836",NA,"Oklahoma",40,2015,2015,725,3911338,"18.5","OK"
"837",NA,"Oregon",41,2015,2015,505,4028977,"12.5","OR"
"838",NA,"Pennsylvania",42,2015,2015,3264,12802503,"25.5","PA"
"839",NA,"Rhode Island",44,2015,2015,310,1056298,"29.3","RI"
"840",NA,"South Carolina",45,2015,2015,761,4896146,"15.5","SC"
"841",NA,"South Dakota",46,2015,2015,65,858469,"7.6","SD"
"842",NA,"Tennessee",47,2015,2015,1457,6600299,"22.1","TN"
"843",NA,"Texas",48,2015,2015,2588,27469114,"9.4","TX"
"844",NA,"Utah",49,2015,2015,646,2995919,"21.6","UT"
"845",NA,"Vermont",50,2015,2015,99,626042,"15.8","VT"
"846",NA,"Virginia",51,2015,2015,1039,8382993,"12.4","VA"
"847",NA,"Washington",53,2015,2015,1094,7170351,"15.3","WA"
"848",NA,"West Virginia",54,2015,2015,725,1844128,"39.3","WV"
"849",NA,"Wisconsin",55,2015,2015,878,5771337,"15.2","WI"
"850",NA,"Wyoming",56,2015,2015,96,586107,"16.4","WY"
"851",NA,"Alabama",1,2016,2016,756,4863300,"15.5","AL"
"852",NA,"Alaska",2,2016,2016,128,741894,"17.3","AK"
"853",NA,"Arizona",4,2016,2016,1382,6931071,"19.9","AZ"
"854",NA,"Arkansas",5,2016,2016,401,2988248,"13.4","AR"
"855",NA,"California",6,2016,2016,4654,39250017,"11.9","CA"
"856",NA,"Colorado",8,2016,2016,942,5540545,"17","CO"
"857",NA,"Connecticut",9,2016,2016,971,3576452,"27.1","CT"
"858",NA,"Delaware",10,2016,2016,282,952065,"29.6","DE"
"859",NA,"Florida",12,2016,2016,4728,20612439,"22.9","FL"
"860",NA,"Georgia",13,2016,2016,1394,10310371,"13.5","GA"
"861",NA,"Hawaii",15,2016,2016,191,1428557,"13.4","HI"
"862",NA,"Idaho",16,2016,2016,243,1683140,"14.4","ID"
"863",NA,"Illinois",17,2016,2016,2411,12801539,"18.8","IL"
"864",NA,"Indiana",18,2016,2016,1526,6633053,"23","IN"
"865",NA,"Iowa",19,2016,2016,314,3134693,"10","IA"
"866",NA,"Kansas",20,2016,2016,313,2907289,"10.8","KS"
"867",NA,"Kentucky",21,2016,2016,1419,4436974,"32","KY"
"868",NA,"Louisiana",22,2016,2016,996,4681666,"21.3","LA"
"869",NA,"Maine",23,2016,2016,353,1331479,"26.5","ME"
"870",NA,"Maryland",24,2016,2016,2044,6016447,"34","MD"
"871",NA,"Massachusetts",25,2016,2016,2227,6811779,"32.7","MA"
"872",NA,"Michigan",26,2016,2016,2347,9928300,"23.6","MI"
"873",NA,"Minnesota",27,2016,2016,672,5519952,"12.2","MN"
"874",NA,"Mississippi",28,2016,2016,352,2988726,"11.8","MS"
"875",NA,"Missouri",29,2016,2016,1371,6093000,"22.5","MO"
"876",NA,"Montana",30,2016,2016,119,1042520,"11.4","MT"
"877",NA,"Nebraska",31,2016,2016,120,1907116,"6.3","NE"
"878",NA,"Nevada",32,2016,2016,665,2940058,"22.6","NV"
"879",NA,"New Hampshire",33,2016,2016,481,1334795,"36","NH"
"880",NA,"New Jersey",34,2016,2016,2056,8944469,"23","NJ"
"881",NA,"New Mexico",35,2016,2016,500,2081015,"24","NM"
"882",NA,"New York",36,2016,2016,3638,19745289,"18.4","NY"
"883",NA,"North Carolina",37,2016,2016,1956,10146788,"19.3","NC"
"884",NA,"North Dakota",38,2016,2016,77,757952,"10.2","ND"
"885",NA,"Ohio",39,2016,2016,4329,11614373,"37.3","OH"
"886",NA,"Oklahoma",40,2016,2016,813,3923561,"20.7","OK"
"887",NA,"Oregon",41,2016,2016,506,4093465,"12.4","OR"
"888",NA,"Pennsylvania",42,2016,2016,4627,12784227,"36.2","PA"
"889",NA,"Rhode Island",44,2016,2016,326,1056426,"30.9","RI"
"890",NA,"South Carolina",45,2016,2016,879,4961119,"17.7","SC"
"891",NA,"South Dakota",46,2016,2016,69,865454,"8","SD"
"892",NA,"Tennessee",47,2016,2016,1630,6651194,"24.5","TN"
"893",NA,"Texas",48,2016,2016,2831,27862596,"10.2","TX"
"894",NA,"Utah",49,2016,2016,635,3051217,"20.8","UT"
"895",NA,"Vermont",50,2016,2016,125,624594,"20","VT"
"896",NA,"Virginia",51,2016,2016,1405,8411808,"16.7","VA"
"897",NA,"Washington",53,2016,2016,1102,7288000,"15.1","WA"
"898",NA,"West Virginia",54,2016,2016,884,1831102,"48.3","WV"
"899",NA,"Wisconsin",55,2016,2016,1074,5778708,"18.6","WI"
"900",NA,"Wyoming",56,2016,2016,99,585501,"16.9","WY"
