"","Notes","State","State.Code","Year","Year.Code","Deaths","Population","Crude.Rate","region"
"179",NA,"New Hampshire",33,2002,2002,111,1269089,"8.7","NH"
"180",NA,"New Jersey",34,2002,2002,813,8552643,"9.5","NJ"
"181",NA,"New Mexico",35,2002,2002,287,1855309,"15.5","NM"
"182",NA,"New York",36,2002,2002,923,19137800,"4.8","NY"
"183",NA,"North Carolina",37,2002,2002,647,8326201,"7.8","NC"
"184",NA,"North Dakota",38,2002,2002,17,638168,NA,"ND"
"185",NA,"Ohio",39,2002,2002,931,11407889,"8.2","OH"
"186",NA,"Oklahoma",40,2002,2002,240,3489080,"6.9","OK"
"187",NA,"Oregon",41,2002,2002,318,3513424,"9.1","OR"
"188",NA,"Pennsylvania",42,2002,2002,1097,12331031,"8.9","PA"
"189",NA,"Rhode Island",44,2002,2002,99,1065995,"9.3","RI"
"190",NA,"South Carolina",45,2002,2002,217,4107795,"5.3","SC"
"191",NA,"South Dakota",46,2002,2002,22,760020,"2.9","SD"
"192",NA,"Tennessee",47,2002,2002,491,5795918,"8.5","TN"
"193",NA,"Texas",48,2002,2002,1598,21690325,"7.4","TX"
"194",NA,"Utah",49,2002,2002,288,2324815,"12.4","UT"
"195",NA,"Vermont",50,2002,2002,47,615442,"7.6","VT"
"196",NA,"Virginia",51,2002,2002,509,7286873,"7","VA"
"197",NA,"Washington",53,2002,2002,643,6052349,"10.6","WA"
"198",NA,"West Virginia",54,2002,2002,229,1805414,"12.7","WV"
"199",NA,"Wisconsin",55,2002,2002,340,5445162,"6.2","WI"
"200",NA,"Wyoming",56,2002,2002,34,500017,"6.8","WY"
"201",NA,"Alabama",1,2003,2003,197,4503491,"4.4","AL"
"202",NA,"Alaska",2,2003,2003,83,648414,"12.8","AK"
"203",NA,"Arizona",4,2003,2003,674,5510364,"12.2","AZ"
"204",NA,"Arkansas",5,2003,2003,184,2724816,"6.8","AR"
"205",NA,"California",6,2003,2003,3108,35253159,"8.8","CA"
"206",NA,"Colorado",8,2003,2003,502,4528732,"11.1","CO"
"207",NA,"Connecticut",9,2003,2003,307,3484336,"8.8","CT"
"208",NA,"Delaware",10,2003,2003,77,818003,"9.4","DE"
"209",NA,"Florida",12,2003,2003,2054,17004085,"12.1","FL"
"210",NA,"Georgia",13,2003,2003,607,8622793,"7","GA"
"211",NA,"Hawaii",15,2003,2003,92,1251154,"7.4","HI"
"212",NA,"Idaho",16,2003,2003,102,1363380,"7.5","ID"
"213",NA,"Illinois",17,2003,2003,847,12556006,"6.7","IL"
"214",NA,"Indiana",18,2003,2003,434,6196638,"7","IN"
"215",NA,"Iowa",19,2003,2003,96,2941999,"3.3","IA"
"216",NA,"Kansas",20,2003,2003,188,2723004,"6.9","KS"
"217",NA,"Kentucky",21,2003,2003,560,4117170,"13.6","KY"
"218",NA,"Louisiana",22,2003,2003,536,4521042,"11.9","LA"
"219",NA,"Maine",23,2003,2003,133,1306513,"10.2","ME"
"220",NA,"Maryland",24,2003,2003,779,5496269,"14.2","MD"
"221",NA,"Massachusetts",25,2003,2003,823,6422565,"12.8","MA"
"222",NA,"Michigan",26,2003,2003,761,10041152,"7.6","MI"
"223",NA,"Minnesota",27,2003,2003,246,5053572,"4.9","MN"
"224",NA,"Mississippi",28,2003,2003,207,2868312,"7.2","MS"
"225",NA,"Missouri",29,2003,2003,522,5709403,"9.1","MO"
"226",NA,"Montana",30,2003,2003,93,919630,"10.1","MT"
"227",NA,"Nebraska",31,2003,2003,55,1738643,"3.2","NE"
"228",NA,"Nevada",32,2003,2003,342,2248850,"15.2","NV"
"229",NA,"New Hampshire",33,2003,2003,127,1279840,"9.9","NH"
"230",NA,"New Jersey",34,2003,2003,721,8601402,"8.4","NJ"
"231",NA,"New Mexico",35,2003,2003,358,1877574,"19.1","NM"
"232",NA,"New York",36,2003,2003,964,19175939,"5","NY"
"233",NA,"North Carolina",37,2003,2003,762,8422501,"9","NC"
"234",NA,"North Dakota",38,2003,2003,22,638817,"3.4","ND"
"235",NA,"Ohio",39,2003,2003,775,11434788,"6.8","OH"
"236",NA,"Oklahoma",40,2003,2003,400,3504892,"11.4","OK"
"237",NA,"Oregon",41,2003,2003,355,3547376,"10","OR"
"238",NA,"Pennsylvania",42,2003,2003,1381,12374658,"11.2","PA"
"239",NA,"Rhode Island",44,2003,2003,146,1071342,"13.6","RI"
"240",NA,"South Carolina",45,2003,2003,287,4150297,"6.9","SC"
"241",NA,"South Dakota",46,2003,2003,24,763729,"3.1","SD"
"242",NA,"Tennessee",47,2003,2003,662,5847812,"11.3","TN"
